"Version","Task","Concept","Att 1 - Preis","Att 2 - Verpflegung","Att 3 - Zimmerkategorie","Att 4 - Kundenbewertung","Att 5 - Meerblick"
1,1,1,3,1,3,1,2
1,1,2,2,3,2,2,3
2,1,1,2,1,3,2,3
2,1,2,1,2,1,3,1
3,1,1,3,2,1,3,1
3,1,2,1,3,2,1,2
4,1,1,1,2,3,1,3
4,1,2,2,3,1,3,2
5,1,1,2,2,1,1,2
5,1,2,3,1,2,2,1
6,1,1,1,3,3,2,1
6,1,2,3,1,2,3,3
7,1,1,3,3,1,1,3
7,1,2,1,2,2,2,2
8,1,1,2,1,3,3,1
8,1,2,3,2,1,2,2
9,1,1,2,1,2,1,1
9,1,2,1,3,3,3,3
10,1,1,3,3,3,3,2
10,1,2,1,1,1,2,3
11,1,1,1,1,1,3,2
11,1,2,2,2,2,1,1
12,1,1,3,3,3,2,1
12,1,2,2,2,2,1,3
13,1,1,1,3,1,1,1
13,1,2,3,2,2,3,3
14,1,1,2,1,3,2,2
14,1,2,3,3,1,1,3
15,1,1,1,1,2,3,2
15,1,2,2,2,3,2,1
16,1,1,2,3,2,3,1
16,1,2,3,2,3,1,2
17,1,1,2,2,3,3,2
17,1,2,1,1,1,2,3
18,1,1,1,3,2,2,3
18,1,2,3,1,1,1,1
19,1,1,1,1,3,1,1
19,1,2,2,3,1,2,2
20,1,1,1,3,3,1,2
20,1,2,3,2,2,3,3
21,1,1,3,2,2,2,1
21,1,2,2,1,1,3,3
22,1,1,1,2,3,3,3
22,1,2,3,1,2,2,2
23,1,1,1,1,2,3,2
23,1,2,2,3,1,1,1
24,1,1,2,2,1,2,3
24,1,2,3,3,3,1,1
25,1,1,1,2,1,2,1
25,1,2,2,1,3,1,3
26,1,1,3,3,2,3,2
26,1,2,1,2,3,1,3
27,1,1,2,3,2,2,2
27,1,2,3,1,1,3,1
28,1,1,3,3,3,2,3
28,1,2,1,1,2,1,1
29,1,1,3,1,2,1,3
29,1,2,2,2,1,3,2
30,1,1,2,3,3,3,1
30,1,2,1,2,1,2,2
31,1,1,3,1,3,2,2
31,1,2,1,3,2,3,1
32,1,1,1,1,3,3,1
32,1,2,2,2,1,1,3
33,1,1,2,3,2,1,2
33,1,2,3,2,1,2,3
34,1,1,3,1,1,1,2
34,1,2,1,2,2,2,1
35,1,1,2,3,3,3,3
35,1,2,1,2,2,1,2
36,1,1,2,1,1,2,1
36,1,2,3,3,3,3,3
37,1,1,3,2,3,2,1
37,1,2,1,3,1,3,3
38,1,1,2,1,2,1,2
38,1,2,1,3,1,2,3
39,1,1,3,2,3,3,2
39,1,2,2,1,2,1,1
40,1,1,2,2,2,3,3
40,1,2,3,3,1,1,1
41,1,1,3,2,2,3,1
41,1,2,1,1,3,2,2
42,1,1,2,1,3,2,3
42,1,2,1,3,1,1,2
43,1,1,3,3,2,2,2
43,1,2,1,2,3,1,3
44,1,1,2,1,1,3,1
