"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
1,1,1,2,3,2,3,1,2
1,1,2,1,3,3,3,3,3
1,1,3,1,1,1,2,3,1
1,1,4,3,2,1,2,1,2
1,1,5,3,2,3,1,2,3
1,2,1,1,2,2,3,3,2
1,2,2,2,1,3,1,2,1
1,2,3,3,3,3,2,3,2
1,2,4,2,1,2,1,2,1
1,2,5,1,2,1,3,1,3
1,3,1,3,3,1,3,2,1
1,3,2,2,3,1,2,2,3
1,3,3,1,2,3,3,3,2
1,3,4,3,1,2,1,1,1
1,3,5,2,1,2,2,1,3
1,4,1,3,1,3,3,1,3
1,4,2,1,2,2,2,2,1
1,4,3,3,1,2,2,3,3
1,4,4,2,3,1,1,3,2
1,4,5,1,3,3,1,1,1
1,5,1,2,2,3,2,3,1
1,5,2,3,3,2,3,3,1
1,5,3,2,2,1,1,2,2
1,5,4,1,1,1,1,2,2
1,5,5,1,1,3,2,1,3
1,6,1,2,2,1,3,1,1
1,6,2,3,3,1,3,2,2
1,6,3,2,2,2,1,1,3
1,6,4,3,3,2,1,2,3
1,6,5,1,1,3,2,3,1
1,7,1,2,1,3,3,2,2
1,7,2,2,1,1,3,3,3
1,7,3,3,2,3,2,1,2
1,7,4,3,2,1,1,3,3
1,7,5,1,3,2,2,1,1
1,8,1,1,3,2,1,2,2
1,8,2,2,2,3,2,3,3
1,8,3,1,3,2,1,1,2
1,8,4,3,2,3,3,2,1
1,8,5,3,1,1,3,1,1
1,9,1,1,1,2,2,2,2
1,9,2,3,2,3,3,1,1
1,9,3,2,1,2,1,3,2
1,9,4,2,3,1,1,3,3
1,9,5,1,3,1,2,2,3
1,10,1,3,2,2,2,3,2
1,10,2,3,1,1,1,3,1
1,10,3,2,3,3,2,1,2
1,10,4,1,3,3,1,1,3
1,10,5,1,2,2,3,2,3
1,11,1,2,1,1,3,2,1
1,11,2,1,1,1,2,1,2
1,11,3,3,3,2,2,1,3
1,11,4,1,2,3,1,3,2
1,11,5,2,3,3,3,2,1
1,12,1,3,1,2,3,3,3
1,12,2,2,2,1,1,1,1
1,12,3,3,3,1,1,3,1
1,12,4,1,3,3,2,2,2
1,12,5,2,2,2,3,2,3
1,13,1,2,2,2,2,3,1
1,13,2,1,3,1,3,1,3
1,13,3,3,2,1,2,2,3
1,13,4,3,1,3,1,2,2
1,13,5,2,1,3,3,1,2
1,14,1,2,3,3,2,2,3
1,14,2,1,1,2,1,3,1
1,14,3,1,1,2,3,3,1
1,14,4,3,2,3,1,1,3
1,14,5,3,2,1,3,1,2
1,15,1,1,1,1,2,2,1
1,15,2,2,3,1,2,3,2
1,15,3,3,1,3,3,1,3
1,15,4,2,3,2,3,3,2
1,15,5,1,2,2,1,2,1
1,16,1,2,1,3,3,2,2
1,16,2,1,2,1,1,3,3
1,16,3,3,3,3,1,3,1
1,16,4,3,3,2,2,1,1
1,16,5,2,2,2,2,1,2
1,17,1,3,2,2,2,2,2
1,17,2,3,3,2,3,1,2
1,17,3,1,1,1,1,1,3
1,17,4,1,1,1,1,2,3
1,17,5,2,2,3,2,3,1
1,18,1,1,3,3,3,2,1
1,18,2,3,2,2,2,2,2
1,18,3,2,1,1,1,1,1
1,18,4,2,1,2,1,3,3
1,18,5,1,3,3,3,3,3
1,19,1,1,2,3,1,1,1
1,19,2,3,1,1,2,3,2
1,19,3,3,1,3,2,2,3
1,19,4,1,2,1,3,3,2
1,19,5,2,3,2,1,1,1
1,20,1,2,3,1,3,2,3
1,20,2,3,1,3,1,3,2
1,20,3,1,2,2,2,1,1
1,20,4,2,3,1,2,2,3
1,20,5,1,1,2,3,1,2
1,21,1,2,3,3,1,3,3
1,21,2,1,1,2,2,1,2
1,21,3,3,3,1,3,3,1
1,21,4,3,2,1,3,2,1
1,21,5,2,2,3,1,2,3
2,1,1,3,3,1,1,1,2
2,1,2,1,3,1,2,3,1
2,1,3,1,2,2,3,3,3
2,1,4,2,1,3,2,2,1
2,1,5,3,1,2,3,2,3
2,2,1,2,2,1,1,1,2
2,2,2,3,1,3,2,3,3
2,2,3,3,3,2,2,3,3
2,2,4,2,2,3,1,1,2
2,2,5,1,1,1,3,2,1
2,3,1,2,2,2,3,1,1
2,3,2,3,3,2,1,2,1
2,3,3,1,3,3,1,2,2
2,3,4,1,2,3,3,3,2
2,3,5,3,1,1,2,3,3
2,4,1,2,3,3,2,1,1
2,4,2,3,1,1,3,3,2
2,4,3,1,2,2,1,2,3
2,4,4,2,1,2,3,1,3
2,4,5,1,2,1,2,2,1
2,5,1,2,3,1,2,1,2
2,5,2,2,2,2,3,3,1
2,5,3,1,1,1,2,2,3
2,5,4,3,3,3,1,1,2
2,5,5,3,1,3,1,2,1
2,6,1,2,2,3,3,2,2
2,6,2,1,3,3,3,1,3
2,6,3,3,1,1,2,2,1
2,6,4,2,2,2,1,3,2
2,6,5,1,3,2,1,3,3
2,7,1,2,1,1,1,3,2
2,7,2,1,3,2,3,2,2
2,7,3,2,1,3,2,3,1
2,7,4,1,2,3,2,1,3
2,7,5,3,2,1,1,1,3
2,8,1,2,3,1,2,2,2
2,8,2,3,1,2,3,1,1
2,8,3,1,1,3,1,2,2
2,8,4,2,2,1,2,3,3
2,8,5,3,3,2,3,1,1
2,9,1,1,3,1,3,1,3
2,9,2,3,2,2,1,2,3
2,9,3,2,1,1,2,1,2
2,9,4,3,2,3,1,3,1
2,9,5,1,3,3,3,3,1
2,10,1,1,2,3,2,1,1
2,10,2,3,3,2,2,2,2
2,10,3,2,1,2,3,2,3
2,10,4,3,3,1,1,3,2
2,10,5,2,1,3,1,1,3
2,11,1,1,1,2,3,3,2
2,11,2,1,2,1,3,3,1
2,11,3,3,1,3,2,1,2
2,11,4,3,2,1,1,1,1
2,11,5,2,3,2,1,2,3
2,12,1,3,2,3,3,2,3
2,12,2,1,1,1,1,1,2
2,12,3,2,3,3,3,3,3
2,12,4,2,3,2,2,3,1
2,12,5,1,2,2,2,2,1
2,13,1,1,1,2,1,3,3
2,13,2,2,3,2,1,2,1
2,13,3,1,2,1,2,1,3
2,13,4,3,3,3,2,1,1
2,13,5,2,2,1,3,2,2
2,14,1,2,2,2,2,1,3
2,14,2,3,1,3,3,3,2
2,14,3,3,2,3,3,3,2
2,14,4,1,3,1,1,2,1
