"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
1,1,1,3,3,2,3,3,3
1,1,2,2,1,1,2,2,1
2,1,1,1,2,3,1,1,2
2,1,2,2,3,1,3,3,1
3,1,1,3,2,3,1,2,2
3,1,2,1,1,2,2,1,3
4,1,1,1,2,2,3,2,1
4,1,2,2,1,3,1,3,3
5,1,1,3,3,1,2,1,2
5,1,2,2,2,2,1,2,3
6,1,1,3,1,3,3,1,1
6,1,2,1,3,1,2,3,2
7,1,1,3,2,2,2,3,1
7,1,2,1,3,3,3,2,3
8,1,1,2,1,1,1,1,2
8,1,2,1,3,3,2,2,1
9,1,1,2,1,2,1,3,2
9,1,2,3,2,1,3,1,3
10,1,1,3,3,2,1,1,1
10,1,2,2,2,3,2,3,3
11,1,1,1,1,1,3,2,2
11,1,2,2,3,3,1,1,1
12,1,1,3,1,1,2,2,3
12,1,2,1,2,2,3,3,2
13,1,1,1,2,1,1,3,1
13,1,2,2,3,2,2,2,2
14,1,1,3,1,3,3,1,3
14,1,2,1,3,1,1,2,1
15,1,1,2,2,3,3,1,2
15,1,2,3,1,2,2,3,3
16,1,1,3,3,3,1,3,2
16,1,2,1,2,1,2,1,3
17,1,1,2,1,2,3,2,1
17,1,2,1,3,1,1,1,3
18,1,1,3,2,3,2,2,2
18,1,2,2,1,2,3,3,1
19,1,1,1,1,3,2,3,1
19,1,2,2,3,2,3,1,2
20,1,1,1,1,2,2,1,2
20,1,2,3,2,1,1,2,3
21,1,1,2,3,1,3,3,3
21,1,2,3,2,3,1,2,1
22,1,1,2,2,1,2,1,1
22,1,2,1,1,2,1,2,3
23,1,1,3,3,3,3,3,2
23,1,2,2,2,2,2,1,3
24,1,1,1,3,3,3,2,1
24,1,2,3,1,1,1,3,2
25,1,1,1,2,1,3,3,2
25,1,2,2,3,3,2,2,3
26,1,1,3,1,2,1,1,1
26,1,2,2,2,1,3,2,2
27,1,1,3,3,2,2,1,1
27,1,2,1,1,3,1,3,3
28,1,1,1,3,2,1,2,2
28,1,2,2,2,3,2,3,1
29,1,1,1,2,2,1,3,1
29,1,2,3,1,1,3,1,3
30,1,1,3,3,1,3,1,3
30,1,2,2,1,3,2,2,2
31,1,1,2,3,2,1,2,3
31,1,2,1,1,3,3,1,1
32,1,1,2,3,3,1,1,3
32,1,2,3,2,1,2,3,2
33,1,1,1,2,2,3,3,2
33,1,2,3,1,1,2,2,1
34,1,1,2,3,1,1,3,1
34,1,2,3,2,2,3,2,3
35,1,1,1,1,3,2,1,2
35,1,2,2,2,1,3,2,1
36,1,1,1,3,2,2,3,3
36,1,2,3,1,3,1,1,2
37,1,1,1,2,1,1,1,3
37,1,2,3,3,2,2,2,2
38,1,1,1,3,1,2,1,2
38,1,2,2,1,3,3,3,1
39,1,1,2,1,2,3,2,2
39,1,2,3,2,3,1,3,3
40,1,1,1,1,3,3,2,3
40,1,2,2,2,2,2,1,1
41,1,1,2,2,3,3,1,2
41,1,2,3,3,1,1,3,1
42,1,1,3,3,2,2,3,3
42,1,2,1,1,1,1,2,1
43,1,1,3,3,2,3,1,1
43,1,2,2,1,1,2,3,3
44,1,1,3,1,1,3,3,1
44,1,2,1,2,3,1,2,2
45,1,1,1,2,3,2,2,3
45,1,2,2,3,2,1,1,2
46,1,1,1,3,3,3,3,3
46,1,2,3,1,2,1,2,2
47,1,1,2,2,1,2,1,1
47,1,2,3,3,3,3,2,2
48,1,1,2,1,1,2,3,3
48,1,2,1,2,2,1,1,1
49,1,1,3,3,3,2,2,1
49,1,2,1,1,2,3,1,3
50,1,1,2,2,1,1,3,2
50,1,2,1,3,3,2,1,1
51,1,1,3,2,1,3,2,3
51,1,2,2,1,2,1,3,2
52,1,1,3,2,2,2,3,2
52,1,2,2,3,1,1,2,3
53,1,1,2,3,1,2,2,2
53,1,2,1,1,3,3,1,1
54,1,1,3,2,3,1,1,3
54,1,2,1,1,2,3,3,1
55,1,1,3,2,2,2,2,1
55,1,2,1,3,1,3,1,2
56,1,1,3,2,1,3,1,2
56,1,2,2,1,3,1,3,3
57,1,1,1,3,2,2,3,3
57,1,2,2,1,3,1,2,1
58,1,1,3,1,3,2,3,2
58,1,2,2,2,2,3,2,3
