"Version","Task","Concept","Att 1 - Preis","Att 2 - Verpflegung","Att 3 - Zimmerkategorie","Att 4 - Kundenbewertung","Att 5 - Meerblick"
1,1,1,2,2,3,3,3
1,1,2,1,3,2,1,1
1,1,3,2,3,2,2,3
1,1,4,1,2,1,3,1
1,1,5,3,1,3,1,2
2,1,1,3,3,2,3,3
2,1,2,2,3,3,3,1
2,1,3,1,2,2,1,3
2,1,4,3,1,1,2,2
2,1,5,2,1,1,2,2
3,1,1,3,2,1,1,2
3,1,2,1,3,1,1,2
3,1,3,3,2,3,2,1
3,1,4,2,1,2,3,3
3,1,5,1,1,3,2,1
4,1,1,2,1,1,1,1
4,1,2,1,2,2,2,2
4,1,3,1,3,1,2,3
4,1,4,3,3,3,3,3
4,1,5,3,1,2,3,1
5,1,1,2,2,3,1,2
5,1,2,1,1,1,3,3
5,1,3,3,2,1,2,3
5,1,4,3,3,2,2,1
5,1,5,2,3,3,1,2
6,1,1,2,1,3,1,1
6,1,2,3,3,1,2,3
6,1,3,1,2,2,3,2
6,1,4,1,1,3,3,2
6,1,5,2,2,2,1,1
7,1,1,1,3,3,2,2
7,1,2,3,1,2,1,3
7,1,3,3,2,2,2,1
7,1,4,1,1,3,1,3
7,1,5,2,3,1,3,2
8,1,1,2,2,1,3,1
8,1,2,3,3,2,1,2
8,1,3,1,1,3,2,3
8,1,4,2,1,2,2,2
8,1,5,3,2,1,3,1
9,1,1,2,2,1,1,3
9,1,2,2,2,3,3,3
9,1,3,3,1,2,2,2
9,1,4,1,3,1,1,1
9,1,5,1,3,3,3,1
10,1,1,2,3,1,2,1
10,1,2,3,1,3,1,3
10,1,3,3,3,3,3,2
10,1,4,1,2,2,3,2
10,1,5,1,1,2,1,1
11,1,1,2,2,1,2,3
11,1,2,3,3,3,1,1
11,1,3,1,1,2,3,2
11,1,4,3,1,1,3,1
11,1,5,2,2,3,2,3
12,1,1,3,1,3,3,1
12,1,2,2,3,2,1,3
12,1,3,2,2,2,2,2
12,1,4,1,2,1,2,2
12,1,5,1,3,1,1,3
13,1,1,1,2,3,2,1
13,1,2,2,3,2,2,1
13,1,3,3,2,3,1,2
13,1,4,1,1,1,3,3
13,1,5,2,1,1,1,2
14,1,1,1,3,3,2,2
14,1,2,2,1,3,2,1
14,1,3,3,3,2,3,3
14,1,4,1,2,1,1,2
14,1,5,3,2,2,3,3
15,1,1,1,2,3,2,2
15,1,2,3,1,2,1,3
15,1,3,2,3,1,3,1
15,1,4,2,1,2,1,1
15,1,5,3,3,1,3,2
16,1,1,2,3,3,3,2
16,1,2,1,2,2,1,1
16,1,3,3,1,1,2,3
16,1,4,1,3,2,2,1
16,1,5,3,2,3,1,3
17,1,1,2,1,1,3,3
17,1,2,2,1,1,3,2
17,1,3,3,2,3,2,1
17,1,4,1,3,3,2,3
17,1,5,1,3,2,1,2
18,1,1,1,3,3,2,2
18,1,2,3,3,1,1,3
18,1,3,3,2,1,1,1
18,1,4,2,1,2,3,3
18,1,5,2,2,2,3,1
19,1,1,2,1,2,2,2
19,1,2,1,1,1,2,1
19,1,3,2,3,3,1,3
19,1,4,3,2,2,3,2
19,1,5,1,2,3,3,3
20,1,1,1,2,3,3,2
20,1,2,2,3,2,2,3
20,1,3,2,2,1,2,3
20,1,4,3,1,3,1,1
20,1,5,3,1,1,1,1
21,1,1,3,3,1,3,2
21,1,2,1,3,1,3,1
21,1,3,3,1,2,2,2
21,1,4,2,2,3,2,3
21,1,5,1,1,2,1,1
22,1,1,2,2,1,1,2
22,1,2,1,1,3,3,3
22,1,3,3,3,2,2,1
22,1,4,2,3,3,3,1
22,1,5,1,2,2,1,3
23,1,1,1,2,1,2,3
23,1,2,2,3,3,2,3
23,1,3,1,2,2,3,1
23,1,4,3,1,3,1,2
23,1,5,3,1,1,1,2
24,1,1,2,1,2,3,2
24,1,2,3,1,1,2,1
24,1,3,1,2,3,3,3
24,1,4,1,3,1,1,1
24,1,5,2,3,2,1,2
25,1,1,2,2,3,1,1
25,1,2,1,1,1,2,2
25,1,3,2,1,3,2,1
25,1,4,3,2,1,3,2
25,1,5,3,3,2,3,3
26,1,1,1,1,3,3,1
26,1,2,3,3,2,1,3
26,1,3,3,3,3,2,2
26,1,4,2,2,1,2,2
26,1,5,1,1,2,1,3
27,1,1,2,3,1,3,1
27,1,2,1,1,3,2,2
27,1,3,2,3,1,1,3
27,1,4,3,2,3,1,3
27,1,5,3,2,2,3,1
28,1,1,1,1,1,3,3
28,1,2,1,2,1,1,1
28,1,3,2,1,2,3,2
28,1,4,3,2,2,2,1
28,1,5,2,3,3,1,2
29,1,1,3,3,2,2,3
29,1,2,1,2,1,3,2
29,1,3,3,2,3,3,2
29,1,4,2,1,3,1,1
29,1,5,1,3,2,2,3
30,1,1,2,2,2,1,1
30,1,2,2,1,2,1,3
30,1,3,3,3,1,2,1
30,1,4,1,3,3,3,2
30,1,5,3,1,1,2,3
31,1,1,3,2,3,1,2
31,1,2,1,3,2,1,2
31,1,3,3,1,3,3,3
31,1,4,2,2,1,2,1
31,1,5,1,1,2,2,1
32,1,1,2,3,1,3,3
32,1,2,3,2,2,2,2
32,1,3,1,2,2,1,3
32,1,4,2,3,1,3,1
32,1,5,1,1,3,1,1
33,1,1,2,1,3,2,3
33,1,2,3,3,3,2,1
33,1,3,1,2,2,3,1
33,1,4,2,1,2,3,2
33,1,5,3,3,1,1,2
34,1,1,2,3,3,2,2
34,1,2,1,1,1,2,3
34,1,3,3,2,1,1,3
34,1,4,2,2,3,1,2
34,1,5,3,3,2,3,1
35,1,1,1,3,1,3,3
35,1,2,3,3,3,1,1
35,1,3,2,2,2,2,2
35,1,4,1,1,1,3,3
35,1,5,3,1,2,2,2
36,1,1,2,1,3,3,1
36,1,2,2,2,3,3,3
36,1,3,1,1,1,1,1
36,1,4,3,3,2,2,2
36,1,5,1,2,1,1,3
37,1,1,3,1,1,3,2
37,1,2,3,2,3,3,3
37,1,3,2,3,2,1,3
37,1,4,1,2,3,2,1
37,1,5,1,3,1,1,2
38,1,1,3,2,1,3,3
38,1,2,2,1,2,2,1
38,1,3,1,3,3,1,2
38,1,4,2,2,1,2,1
38,1,5,1,1,2,3,2
39,1,1,3,1,3,2,3
39,1,2,2,1,3,1,3
39,1,3,3,3,2,3,1
39,1,4,1,2,1,3,2
39,1,5,2,3,2,1,1
40,1,1,3,2,3,3,1
40,1,2,1,3,3,1,1
40,1,3,2,2,1,2,2
40,1,4,1,3,2,2,3
40,1,5,2,1,1,1,2
41,1,1,3,3,1,3,1
41,1,2,2,3,3,3,2
41,1,3,3,1,2,2,3
41,1,4,1,2,1,1,1
41,1,5,1,1,2,2,3
42,1,1,2,2,2,1,3
42,1,2,1,3,1,3,1
42,1,3,2,1,3,2,3
42,1,4,3,1,3,2,2
42,1,5,3,2,2,1,2
43,1,1,1,1,2,3,1
43,1,2,2,2,2,3,2
43,1,3,1,3,3,2,3
43,1,4,2,3,1,2,2
43,1,5,3,1,1,1,1
44,1,1,1,1,2,3,2
44,1,2,3,3,3,1,3
44,1,3,2,3,1,2,1
44,1,4,1,2,2,2,1
44,1,5,3,2,3,1,3
45,1,1,2,1,1,3,3
45,1,2,3,1,1,1,2
45,1,3,1,2,3,1,2
45,1,4,1,3,2,2,1
45,1,5,2,2,3,3,3
46,1,1,1,3,2,1,2
46,1,2,2,3,2,3,3
46,1,3,2,1,3,3,1
46,1,4,3,2,1,2,3
46,1,5,3,2,3,2,1
47,1,1,1,3,3,3,3
47,1,2,2,2,2,2,1
47,1,3,3,1,1,1,2
47,1,4,2,1,1,1,2
47,1,5,3,2,2,3,1
48,1,1,1,1,1,2,3
48,1,2,2,2,2,1,1
48,1,3,1,1,3,1,2
48,1,4,3,3,3,3,2
48,1,5,3,3,1,2,3
49,1,1,3,1,3,3,1
49,1,2,2,3,1,1,1
49,1,3,2,3,1,2,2
49,1,4,1,2,3,2,2
49,1,5,1,2,2,1,3
50,1,1,2,2,1,1,3
50,1,2,3,1,2,3,3
50,1,3,2,3,3,1,2
50,1,4,1,2,1,2,1
50,1,5,3,1,2,3,2
51,1,1,1,3,3,3,3
51,1,2,3,3,2,3,3
51,1,3,2,2,1,1,2
51,1,4,1,1,3,2,1
51,1,5,3,1,2,2,1
52,1,1,2,3,3,2,1
52,1,2,1,1,2,1,3
52,1,3,3,1,3,1,1
52,1,4,3,2,1,3,2
52,1,5,2,2,2,3,2
53,1,1,1,3,1,2,3
53,1,2,1,2,3,3,1
53,1,3,2,1,3,3,1
53,1,4,3,3,1,2,3
53,1,5,3,2,2,1,2
54,1,1,2,3,2,1,3
54,1,2,1,1,1,2,2
54,1,3,3,2,3,3,3
54,1,4,1,3,1,1,1
54,1,5,2,1,2,2,2
55,1,1,2,1,1,3,1
55,1,2,3,2,1,2,1
55,1,3,2,1,3,1,3
55,1,4,3,3,3,2,2
55,1,5,1,3,2,3,2
56,1,1,3,3,3,1,1
56,1,2,1,2,2,2,3
56,1,3,1,2,2,1,3
56,1,4,3,3,1,3,1
56,1,5,2,1,3,2,2
57,1,1,3,3,3,2,1
57,1,2,2,2,1,3,3
57,1,3,1,1,2,1,1
57,1,4,2,2,2,1,2
57,1,5,1,1,1,3,3
58,1,1,1,3,2,3,2
58,1,2,2,3,2,2,3
58,1,3,3,1,1,1,3
58,1,4,1,2,3,3,2
58,1,5,2,2,3,2,1
59,1,1,1,3,3,1,3
59,1,2,1,2,3,2,3
59,1,3,3,1,1,1,2
59,1,4,2,3,2,3,1
59,1,5,3,1,1,2,2
60,1,1,2,1,1,3,2
60,1,2,3,3,2,1,2
60,1,3,2,2,1,3,1
60,1,4,3,2,2,1,1
60,1,5,1,3,3,2,3
61,1,1,1,1,3,1,1
61,1,2,2,1,2,3,3
61,1,3,2,3,1,3,2
61,1,4,1,2,1,2,2
61,1,5,3,2,2,2,3
62,1,1,3,1,3,1,3
62,1,2,3,1,3,1,1
62,1,3,2,2,1,2,3
62,1,4,1,3,1,3,1
62,1,5,1,3,2,3,2
63,1,1,2,1,2,2,1
63,1,2,3,2,3,3,2
63,1,3,2,2,3,1,2
63,1,4,1,3,1,1,3
63,1,5,3,1,2,2,1
64,1,1,1,1,3,2,2
64,1,2,3,3,2,2,2
64,1,3,2,1,3,3,3
64,1,4,3,2,2,3,3
64,1,5,2,3,1,1,1
65,1,1,1,2,1,1,1
65,1,2,2,3,3,2,2
65,1,3,1,2,2,1,1
65,1,4,3,3,1,2,3
65,1,5,3,1,2,3,3
66,1,1,1,1,1,3,1
66,1,2,2,2,3,1,2
66,1,3,2,2,1,1,1
66,1,4,3,3,2,2,3
66,1,5,1,1,3,3,2
67,1,1,2,1,2,2,1
67,1,2,2,1,2,1,3
67,1,3,1,3,1,2,2
67,1,4,3,3,1,1,2
67,1,5,3,2,3,3,1
68,1,1,1,2,3,3,3
68,1,2,1,2,3,2,3
68,1,3,2,3,2,1,1
68,1,4,3,1,1,2,2
68,1,5,2,3,2,3,2
69,1,1,1,1,1,1,3
69,1,2,3,2,1,1,3
69,1,3,2,3,2,2,2
69,1,4,1,1,3,3,1
69,1,5,3,2,3,3,1
70,1,1,3,1,1,3,1
70,1,2,2,2,1,2,3
70,1,3,1,2,2,2,2
70,1,4,2,3,3,1,3
70,1,5,1,1,2,1,2
71,1,1,2,2,1,3,2
71,1,2,3,3,3,3,1
71,1,3,2,1,1,2,3
71,1,4,1,2,2,1,2
71,1,5,3,3,3,1,1
72,1,1,1,1,2,2,1
72,1,2,3,3,3,3,3
72,1,3,1,3,2,3,3
72,1,4,2,2,1,1,2
72,1,5,3,1,3,2,2
73,1,1,2,1,3,1,3
73,1,2,3,2,2,2,1
73,1,3,3,2,2,3,3
73,1,4,2,3,3,2,1
73,1,5,1,3,1,3,2
74,1,1,1,1,1,1,1
74,1,2,2,3,2,3,3
74,1,3,2,1,2,3,2
74,1,4,1,3,1,1,1
74,1,5,3,2,3,2,2
75,1,1,1,1,3,1,2
75,1,2,3,1,1,1,3
